YSO,MAIN_ID,"RA ( ""h:m:s"" )","DEC ( ""d:m:s"" )",j,h,k
1,2MASS J18184252-1345021,18 18 42.524,-13 45 02.15,14.615,13.509,13.124
1,2MASS J18185543-1346571,18 18 55.44013,-13 46 57.1835,15.19,14.249,13.73
1,2MASS J18184283-1345000,18 18 42.84872,-13 45 00.0274,15.894,14.638,13.976
1,2MASS J18185553-1348019,18 18 55.53380,-13 48 01.9355,12.024,11.406,11.119
1,2MASS J18183452-1347449,18 18 34.52509,-13 47 45.0096,15.13,13.832,13.511
1,2MASS J18184699-1350050,18 18 47.00403,-13 50 04.9313,16.094,15.103,14.717
1,2MASS J18183742-1349221,18 18 37.42601,-13 49 22.2705,12.834,12.45,12.241
1,2MASS J18184601-1350090,18 18 46.01971,-13 50 09.0597,14.231,13.382,13.132
1,2MASS J18183428-1347085,18 18 34.29190,-13 47 08.5763,14.966,13.885,13.413
1,2MASS J18184941-1345024,18 18 49.41238,-13 45 02.4364,12.077,10.775,10.054
1,2MASS J18184816-1344551,18 18 48.166,-13 44 55.19,15.909,13.312,11.533
1,2MASS J18184079-1345013,18 18 40.81162,-13 45 01.3159,16.109,15.093,14.259
1,2MASS J18183903-1349500,18 18 39.02918,-13 49 50.0701,13.928,13.004,12.609
1,2MASS J18184709-1350141,18 18 47.10217,-13 50 14.1370,14.833,13.805,13.489
1,2MASS J18184420-1350165,18 18 44.21403,-13 50 16.4546,16.249,14.9,14.013
1,2MASS J18183555-1345581,18 18 35.55784,-13 45 58.1595,14.244,13.234,12.843
1,2MASS J18185226-1345198,18 18 52.27021,-13 45 19.9472,14.431,13.448,12.685
1,2MASS J18185641-1348035,18 18 56.41731,-13 48 03.7461,15.738,14.995,14.663
1,2MASS J18185666-1347417,18 18 56.67625,-13 47 41.7166,14.815,13.887,13.426
1,2MASS J18183821-1345155,18 18 38.22197,-13 45 15.6453,15.494,14.371,13.923
1,2MASS J18185670-1347299,18 18 56.70572,-13 47 29.9945,12.884,12.085,11.753
1,2MASS J18184570-1350216,18 18 45.70768,-13 50 21.9161,15.919,14.551,13.513
1,2MASS J18185198-1345123,18 18 51.98713,-13 45 12.2569,15.458,14.326,13.777
1,2MASS J18183392-1346385,18 18 33.92313,-13 46 38.6209,14.369,13.327,12.945
1,2MASS J18185174-1345081,18 18 51.75389,-13 45 08.0762,15.029,13.479,12.528
1,2MASS J18183620-1345362,18 18 36.23338,-13 45 36.5765,15.429,14.244,13.45
1,2MASS J18185092-1344587,18 18 50.929,-13 44 58.77,15.347,14.265,13.866
1,2MASS J18183861-1345038,18 18 38.61135,-13 45 04.0201,14.936,13.812,13.536
1,2MASS J18183522-1349107,18 18 35.228,-13 49 10.78,15.288,14.151,13.614
1,2MASS J18185703-1347033,18 18 57.04105,-13 47 03.3855,14.786,13.854,13.469
0,2MASS J18185266-1349493,18 18 52.66,-13 49 49.4,14.961,13.561,12.599
1,2MASS J18183656-1345261,18 18 36.56365,-13 45 26.1274,15.673,14.595,14.392
1,2MASS J18185173-1349596,18 18 51.74371,-13 49 59.4134,15.909,15.065,14.936
1,2MASS J18185721-1347081,18 18 57.21372,-13 47 08.2799,13.91,13.114,12.628
1,2MASS J18185733-1347368,18 18 57.337,-13 47 36.84,15.163,14.144,13.756
1,2MASS J18184982-1350156,18 18 49.82843,-13 50 15.8817,13.225,12.252,11.716
0,2MASS J18185378-1349377,18 18 53.79,-13 49 37.7,13.319,10.389,8.727
1,2MASS J18183868-1344575,18 18 38.69300,-13 44 57.5353,13.874,12.732,12.114
1,2MASS J18183415-1348541,18 18 34.14759,-13 48 54.2776,15.717,14.545,14.099
1,2MASS J18183444-1345598,18 18 34.44891,-13 45 59.9443,14.296,13.247,12.801
1,2MASS J18185058-1344493,18 18 50.58309,-13 44 49.4404,14.803,13.504,12.813
1,2MASS J18184933-1350206,18 18 49.33767,-13 50 20.8088,15.568,14.626,14.268
1,2MASS J18185324-1349488,18 18 53.25138,-13 49 48.8548,15.136,14.657,14.588
1,2MASS J18183604-1345243,18 18 36.05113,-13 45 24.3420,14.837,13.818,13.445
1,2MASS J18184083-1350235,18 18 40.837,-13 50 23.51,,14.838,12.492
