MAIN_ID,RAJ2000 ( deg ),DEJ2000 ( deg ),j,h,k
02583839+0046042,44.659981,0.767858,16.795,16.208,15.779
02583856+0046302,44.660708,0.775078,16.952,15.598,15.305
02584437+0047185,44.684899,0.788485,13.514,13.068,12.966
02583009+0047391,44.625388,0.794208,15.275,14.663,14.297
02584535+0047427,44.688971,0.795219,15.872,15.309,15.112
02584897+0047434,44.704042,0.795404,14.081,13.5,13.509
02585021+0049445,44.70923,0.82905,14.732,14.056,13.834
02584274+0048396,44.67811,0.811011,15.635,15.232,14.866
02584428+0048587,44.684504,0.816329,16.519,15.997,15.393
02584615+0051001,44.692323,0.850033,12.548,12.239,12.155
02582621+0047416,44.609233,0.794905,16.201,15.74,15.37
02582808+0047586,44.617012,0.799638,15.46,14.839,14.524
02582979+0048258,44.624149,0.807174,15.68,15.052,14.773
02582948+0049268,44.622851,0.824127,15.714,15.008,14.965
02582798+0050444,44.616621,0.845689,14.643,14.19,14.046
02583995+0050233,44.666499,0.839806,16.593,15.987,15.342
02582967+0050462,44.623642,0.846172,16.353,15.786,15.064
02582852+0050482,44.618866,0.84673,13.676,13.405,13.266
02583251+0052231,44.635471,0.873107,15.911,15.128,15.033
02583123+0052301,44.630151,0.87503,14.519,13.894,13.806
02595996+0037306,44.999851,0.625168,15.864,15.865,15.307
02595979+0037348,44.999148,0.626349,15.661,15.127,14.849
03000806+0037520,45.033623,0.63112,16.089,15.396,15.056
03000949+0038132,45.03955,0.637018,13.35,13.016,12.951
02595484+0037037,44.978518,0.617711,11.31,10.982,10.856
02595468+0038323,44.977861,0.642314,14.448,13.86,13.612
03000075+0039292,45.003153,0.658127,14.795,14.549,14.348
03000926+0038459,45.038617,0.646093,15.672,15.017,14.844
03001114+0039502,45.046456,0.663948,15.564,15.551,15.088
03001430+0040367,45.059621,0.676887,14.028,13.706,13.586
03000690+0040309,45.028778,0.675271,15.483,14.982,14.48
03000546+0040597,45.022776,0.683253,14.03,13.442,13.254
03000507+0040596,45.021148,0.683245,14.851,14.239,14.088
02594953+0038249,44.956388,0.640263,15.892,15.225,14.983
02594812+0038458,44.950506,0.646067,16.256,16.078,15.304
02595651+0040321,44.985485,0.675593,15.621,15.121,15.071
02595389+0040308,44.974574,0.675241,16.389,15.698,15.762
02595581+0040386,44.982576,0.677412,16.481,15.896,15.207
02595538+0040581,44.98075,0.682815,10.918,10.286,10.083
02594522+0040106,44.938456,0.669615,11.792,11.218,10.99
02593981+0040107,44.915911,0.669641,15.98,15.495,15.442
03000561+0041418,45.023399,0.69497,15.976,15.528,14.82
03000463+0041478,45.019332,0.696619,17.26,15.815,15.027
03000107+0044250,45.004493,0.740289,16.699,16.035,15.854
03001367+0041533,45.056989,0.698148,14.193,13.776,13.703
03002215+0044256,45.092328,0.740457,16.751,16.324,15.346
03002125+0044201,45.088556,0.738932,16.551,16.065,16.01
03002804+0044509,45.116873,0.74749,15.027,14.432,14.207
03001054+0044138,45.043945,0.737181,17.076,16.153,15.573
03001469+0044111,45.061238,0.736427,16.608,15.072,14.86
03000407+0044540,45.016991,0.748351,15.985,15.442,15.317
03001178+0046434,45.04909,0.778724,16.423,15.502,14.631
03002102+0045178,45.087586,0.754956,16.193,15.344,15.102
03002183+0045129,45.090965,0.753598,16.503,15.936,14.987
03002439+0045481,45.101633,0.763383,11.447,11.149,11.028
03002419+0046275,45.100826,0.774333,13.723,13.256,13.089
03002668+0047346,45.111181,0.792971,14.041,13.525,13.266
03001760+0046492,45.07337,0.780334,15.313,14.96,14.901
03001721+0047190,45.071735,0.78862,16.337,15.79,15.134
03001408+0047295,45.05868,0.791534,13.698,13.146,12.895
03001827+0048066,45.076155,0.801846,15.971,15.382,14.999
02593985+0040377,44.916073,0.67716,15.09,14.638,14.563
02593763+0041049,44.906794,0.684717,16.515,16.007,15.466
02593868+0041199,44.911199,0.688871,15.398,14.828,14.857
02593995+0042153,44.916485,0.704252,16.172,15.944,15.322
02593813+0042162,44.908912,0.704526,15.77,15.214,14.334
02594632+0041569,44.943026,0.699155,16.629,15.714,15.29
02593698+0043304,44.90411,0.725114,16.965,15.915,15.837
02593753+0043357,44.906404,0.7266,16.213,15.457,15.163
02593554+0043432,44.89812,0.728681,17.448,16.19,15.572
02594742+0043289,44.947599,0.724719,16.755,16.266,15.331
02594769+0043569,44.948739,0.732486,16.785,15.852,15.672
02595631+0044304,44.984642,0.741804,15.29,14.836,14.874
02595948+0044397,44.997856,0.744362,16.99,16.241,15.441
02595816+0044560,44.992369,0.748889,16.306,15.463,14.774
02594913+0045424,44.954717,0.761796,13.992,13.257,13.12
02595075+0045483,44.961473,0.763422,15.997,15.273,15.226
02595170+0046191,44.965457,0.771995,12.556,11.943,11.649
02592532+0043383,44.855527,0.727313,16.415,16.048,15.369
02593524+0044231,44.896868,0.739768,16.414,15.546,15.343
02593168+0044499,44.882019,0.747221,15.508,14.997,14.907
02592059+0044190,44.835801,0.738619,15.869,15.646,15.45
02592860+0046240,44.869174,0.773335,14.225,13.671,13.611
02594036+0045187,44.918169,0.755219,10.364,10.057,9.934
02593760+0045192,44.906704,0.755342,15.564,14.691,14.63
02594606+0046179,44.941931,0.771665,16.646,15.979,15.967
02594326+0047053,44.930289,0.784808,15.711,14.888,14.475
02593535+0047068,44.897306,0.785226,16.13,15.727,15.709
02592982+0046525,44.874251,0.781258,16.563,16.433,17.027
02593333+0047222,44.888877,0.789509,17.294,16.297,15.472
02593818+0048559,44.909092,0.815528,15.492,14.81,14.474
03000565+0047026,45.023559,0.784073,14.303,13.891,13.685
02595286+0046317,44.970265,0.775482,15.873,15.336,15.068
03000069+0048191,45.002901,0.805313,16.57,16.019,15.312
03000056+0048280,45.002367,0.807799,15.092,14.594,14.108
02595826+0048449,44.992782,0.812481,16.771,15.912,15.278
03001441+0048017,45.060045,0.800495,15.137,14.641,14.503
03000861+0048185,45.035892,0.805159,14.072,13.4,13.171
03000742+0049199,45.030939,0.822222,15.92,15.492,15.301
03000106+0049217,45.004445,0.822719,15.752,14.897,14.628
03001451+0050209,45.060466,0.839162,16.145,15.584,15.347
03000696+0050203,45.029024,0.838985,15.692,15.138,14.982
03000879+0050573,45.036645,0.849274,16.042,15.871,15.345
02595264+0048039,44.969371,0.80111,15.548,14.808,14.736
02595038+0048437,44.959924,0.812158,16.49,16.391,15.348
02595420+0049003,44.975838,0.816772,16.469,16.21,15.454
02595715+0049176,44.98815,0.821566,14.816,14.263,14.238
02594831+0049205,44.951302,0.82237,16.409,15.748,15.452
03000174+0049594,45.007271,0.833173,14.91,14.441,14.302
02595896+0050284,44.995685,0.841237,14.89,14.614,14.51
03000290+0051104,45.012087,0.85291,15.452,14.714,14.436
02595505+0050352,44.979403,0.843125,14.085,13.429,13.314
02595175+0051013,44.965631,0.850367,15.667,14.893,14.863
02595939+0052247,44.997466,0.873537,14.968,14.417,14.357
03004818+0046404,45.20077,0.7779,16.637,15.855,15.903
03003413+0046331,45.142229,0.775883,16.191,15.643,15.193
03003438+0046373,45.143263,0.777052,16.155,15.558,15.171
03005402+0047418,45.225114,0.794958,16.106,15.288,14.5
03005663+0047502,45.235993,0.797305,16.191,15.59,15.122
03005155+0048265,45.214821,0.807378,14.566,13.9,13.516
03005735+0048292,45.238988,0.808122,15.284,14.777,14.544
03005742+0049120,45.239255,0.820022,13.917,13.346,13.205
03005804+0049354,45.241865,0.826515,16.492,16.023,15.262
03005127+0048581,45.213633,0.816142,15.87,15.172,14.934
03005286+0049429,45.220254,0.828604,12.93,12.695,12.685
03005132+0049580,45.213852,0.832786,14.768,14.11,14.073
03004921+0050045,45.205056,0.834593,10.693,10.418,10.326
03003592+0048185,45.14968,0.805159,16.357,16.012,16.304
03002534+0048377,45.105592,0.810487,15.972,14.012,14.098
03002534+0048455,45.105589,0.812662,9.502,9.074,8.921
03003142+0049415,45.130919,0.828217,15.854,15.406,15.203
03003414+0050149,45.142274,0.83749,16.705,16.439,15.81
03003372+0050356,45.140525,0.843243,13.395,12.877,12.612
03002834+0050223,45.118085,0.839538,15.325,14.765,14.389
03004102+0050002,45.170949,0.833391,15.518,15.182,14.878
03004110+0052306,45.171251,0.875183,13.652,13.259,13.201
03004153+0052349,45.173048,0.876367,14.757,14.228,13.862
03010638+0049569,45.276618,0.832482,16.383,15.999,15.97
03010993+0050540,45.291402,0.848347,16.629,16.014,15.359
03005497+0051443,45.229048,0.862317,16.688,16.041,15.376
03005770+0051569,45.240441,0.865811,13.911,13.386,13.267
03011896+0052489,45.32904,0.880255,16.719,15.967,15.421
03012122+0053333,45.338432,0.8926,13.857,13.375,13.215
03011694+0054010,45.320614,0.900305,15.556,14.661,14.532
03011693+0054046,45.320583,0.90128,16.46,14.821,14.992
03010915+0054385,45.288126,0.910708,16.315,15.907,16.083
03011482+0054314,45.311779,0.908735,16.72,16.172,16.35
03011836+0054451,45.326502,0.912544,15.82,15.334,14.764
03011695+0054586,45.320641,0.916305,15.43,14.952,14.592
03011183+0054375,45.299294,0.910428,14.097,13.534,13.4
03011230+0055208,45.301285,0.922467,13.693,13.053,13.015
03005667+0053104,45.236156,0.886247,16.291,15.573,15.282
03005755+0054171,45.239805,0.90475,14.603,14.023,13.915
03005030+0054189,45.209603,0.905263,16.189,15.504,15.159
03005580+0054426,45.232525,0.911854,16.662,16.062,15.695
03010278+0055113,45.261611,0.919811,15.393,14.883,14.598
03010252+0055177,45.260506,0.921594,16.245,15.484,14.908
03010187+0055276,45.2578,0.92436,14.095,13.425,13.2
03011058+0056062,45.294086,0.935083,16.379,15.837,15.264
03010300+0057455,45.262514,0.962643,14.808,14.313,14.289
03002249+0049593,45.093709,0.833157,16.98,16.298,15.634
03002562+0051037,45.106774,0.85104,15.282,14.691,14.393
03001688+0051545,45.070346,0.865147,16.77,16.252,15.448
03002209+0053010,45.092042,0.883615,16.088,15.411,15.366
03002003+0052584,45.083485,0.882911,16.48,16.095,15.58
03003367+0052527,45.140331,0.881332,15.505,14.664,14.331
03003134+0053568,45.130624,0.899133,16.827,16.271,15.507
03002980+0055242,45.124202,0.923411,16.582,15.896,15.639
03001255+0053022,45.052318,0.883966,16.437,15.755,15.59
03001878+0053325,45.078275,0.892371,16.405,16.021,15.542
03000197+0053197,45.008224,0.888812,7.792,7.255,7.137
03000588+0054253,45.024516,0.907037,11.528,11.222,11.039
03002400+0054320,45.10001,0.908916,13.416,13.148,13.06
03002290+0054359,45.095429,0.90998,14.536,13.99,13.61
03002984+0056110,45.124367,0.936416,16.656,15.886,16.21
03002679+0056451,45.111636,0.945885,16.593,16.146,15.717
03001865+0055450,45.077737,0.929177,15.378,14.957,14.855
03003979+0054437,45.165792,0.912162,16.117,15.682,15.376
03004383+0055527,45.182627,0.93131,16.903,15.831,15.281
03004891+0056362,45.203819,0.943415,14.909,14.677,14.529
03003728+0055470,45.155372,0.929741,14.868,14.18,14.055
03003496+0055426,45.145699,0.928519,15.143,14.582,14.479
03004208+0058098,45.175359,0.969412,16.342,15.6,15.397
